BUSINESS DATE,VOLUME
10/28/2016,1607.696015
10/31/2016,3320.291313
11/1/2016,1533.438137
11/2/2016,5176.090443
11/3/2016,1412.48007
11/4/2016,3777.132247
11/7/2016,4791.232547
11/8/2016,1905.944693
11/9/2016,2347.434616
11/10/2016,2972.27004
11/11/2016,1419.393454
11/14/2016,2171.444153
11/15/2016,2543.730569
11/16/2016,3184.13683
11/17/2016,2887.877543
11/18/2016,5606.548504
11/21/2016,1686.377139
11/22/2016,8004.945505
11/23/2016,1671.686849
11/24/2016,716.0702801
11/25/2016,1069.619031
11/28/2016,1579.243509
11/29/2016,1761.902823
11/30/2016,5018.35715
12/1/2016,8323.497252
12/2/2016,7527.245751
12/5/2016,3222.162952
12/6/2016,2308.06321
12/7/2016,3726.770145
12/8/2016,5675.723346
12/9/2016,10205.2202
12/12/2016,16046.59307
12/13/2016,4957.342714
12/14/2016,31093.22409
12/15/2016,2391.265852
12/16/2016,2743.344045
12/19/2016,7109.426507
12/20/2016,8659.977081
12/21/2016,14358.96922
12/22/2016,7662.550908
12/23/2016,481.3707929
12/27/2016,328.338369
12/28/2016,7663.920268
12/29/2016,624.815023
12/30/2016,607.4395044
1/2/2017,263.4254678
1/3/2017,1375.454785
1/4/2017,1747.384356
1/5/2017,7073.57486
1/6/2017,6694.422593
1/9/2017,7795.824945
1/10/2017,4712.335888
1/11/2017,2974.608552
1/12/2017,5614.001991
1/13/2017,2834.01974
1/16/2017,4026.465031
1/17/2017,1645.95236
1/18/2017,1459.143925
1/19/2017,5613.825367
1/20/2017,9629.118633
1/23/2017,3442.393277
1/24/2017,2092.088333
1/25/2017,2464.500015
1/26/2017,2033.72933
1/27/2017,3902.165999
1/30/2017,1698.831095
1/31/2017,1699.265045
2/1/2017,2002.966931
2/2/2017,1648.306441
2/3/2017,8708.072128
2/6/2017,5785.257235
2/7/2017,2640.819979
2/8/2017,1844.691925
2/9/2017,3615.1913
2/10/2017,5819.066635
2/13/2017,1324.110655
2/14/2017,1197.510893
2/15/2017,2353.573339
2/16/2017,1659.701212
2/17/2017,2238.274715
2/20/2017,1088.596157
2/21/2017,1698.45624
2/22/2017,7842.568991
2/23/2017,1472.829864
2/24/2017,2037.390096
2/27/2017,4739.783195
2/28/2017,1955.156915
3/1/2017,2809.661794
3/2/2017,3193.857921
3/3/2017,2473.446769
3/6/2017,1772.12325
3/7/2017,3241.847028
3/8/2017,4622.738684
3/9/2017,5080.371176
3/10/2017,2513.888742
3/13/2017,4295.012401
3/14/2017,2133.73825
3/15/2017,4206.404947
3/16/2017,3787.998577
3/17/2017,3191.355881
3/20/2017,1050.763396
3/21/2017,3294.600113
3/22/2017,3392.846384
3/23/2017,1999.120412
3/24/2017,1580.43155
3/27/2017,4198.003591
3/28/2017,2887.60203
3/29/2017,1883.598389
3/30/2017,6207.067294
3/31/2017,1927.680888
4/3/2017,1743.5237
4/4/2017,1691.102717
4/5/2017,1904.268193
4/6/2017,1688.385843
4/7/2017,3187.298209
4/10/2017,4302.730585
4/11/2017,2725.977065
4/12/2017,3482.17119
4/13/2017,1925.512841
4/14/2017,-5.876638316
4/17/2017,32.65467197
4/18/2017,1912.509793
4/19/2017,7854.59244
4/20/2017,2376.193441
4/21/2017,3113.628939
4/24/2017,3976.036526
4/25/2017,2349.064576
4/26/2017,6634.883298
4/27/2017,2300.279385
4/28/2017,5012.753044
5/1/2017,111.7038709
5/2/2017,5475.603327
5/3/2017,2002.879556
5/4/2017,2427.588293
5/5/2017,2498.948998
5/8/2017,2748.496194
5/9/2017,2116.129539
5/10/2017,2822.743452
5/11/2017,2255.630715
5/12/2017,2368.518175
5/15/2017,1733.493593
5/16/2017,2267.423596
5/17/2017,2328.979
5/18/2017,5336.033022
5/19/2017,2854.678035
5/22/2017,1604.544225
5/23/2017,1437.539161
5/24/2017,3146.494762
5/25/2017,5357.089773
5/26/2017,4935.722057
5/29/2017,867.8749449
5/30/2017,1751.084138
5/31/2017,2185.800659
6/1/2017,8504.920128
6/2/2017,3583.755967
6/5/2017,1386.496433
6/6/2017,2855.145278
6/7/2017,2338.79272
6/8/2017,3087.04894
6/9/2017,2642.405804
6/12/2017,2963.746219
6/13/2017,13962.42767
