Date,USD
2/12/2020,1.0914
2/11/2020,1.0901
2/10/2020,1.0951
2/7/2020,1.0969
2/6/2020,1.1003
2/5/2020,1.1023
2/4/2020,1.1048
2/3/2020,1.1066
1/31/2020,1.1052
1/30/2020,1.1029
1/29/2020,1.1001
1/28/2020,1.1005
1/27/2020,1.1025
1/24/2020,1.1035
1/23/2020,1.1091
1/22/2020,1.1088
1/21/2020,1.1115
1/20/2020,1.1085
1/17/2020,1.1108
1/16/2020,1.1169
1/15/2020,1.1142
1/14/2020,1.1115
1/13/2020,1.1126
1/10/2020,1.1091
1/9/2020,1.111
1/8/2020,1.1115
1/7/2020,1.1172
1/6/2020,1.1194
1/3/2020,1.1147
1/2/2020,1.1193
12/31/2019,1.1234
12/30/2019,1.1189
12/27/2019,1.1153
12/24/2019,1.108
12/23/2019,1.1075
12/20/2019,1.1097
12/19/2019,1.1117
12/18/2019,1.1115
12/17/2019,1.1162
12/16/2019,1.1146
12/13/2019,1.1174
12/12/2019,1.1137
12/11/2019,1.1075
12/10/2019,1.1077
12/9/2019,1.1075
12/6/2019,1.1094
12/5/2019,1.1094
12/4/2019,1.1081
12/3/2019,1.1071
12/2/2019,1.1023
11/29/2019,1.0982
11/28/2019,1.1005
11/27/2019,1.1009
11/26/2019,1.102
11/25/2019,1.1008
11/22/2019,1.1058
11/21/2019,1.1091
11/20/2019,1.1059
11/19/2019,1.1077
11/18/2019,1.1061
11/15/2019,1.1034
11/14/2019,1.0997
11/13/2019,1.1006
11/12/2019,1.1015
11/11/2019,1.1041
11/8/2019,1.1034
11/7/2019,1.1077
11/6/2019,1.109
11/5/2019,1.1109
11/4/2019,1.1158
11/1/2019,1.1139
10/31/2019,1.1154
10/30/2019,1.1106
10/29/2019,1.1095
10/28/2019,1.1087
10/25/2019,1.1107
10/24/2019,1.1128
10/23/2019,1.1123
10/22/2019,1.113
10/21/2019,1.1173
10/18/2019,1.1144
10/17/2019,1.1113
10/16/2019,1.1025
10/15/2019,1.1007
10/14/2019,1.1031
10/11/2019,1.1043
10/10/2019,1.103
10/9/2019,1.0981
10/8/2019,1.0986
10/7/2019,1.0993
10/4/2019,1.0979
10/3/2019,1.0951
10/2/2019,1.0925
10/1/2019,1.0898
9/30/2019,1.0889
9/27/2019,1.0935
9/26/2019,1.0938
9/25/2019,1.0982
9/24/2019,1.1003
9/23/2019,1.0985
9/20/2019,1.103
9/19/2019,1.1067
9/18/2019,1.1053
9/17/2019,1.1026
9/16/2019,1.1031
9/13/2019,1.1096
9/12/2019,1.0963
9/11/2019,1.1003
9/10/2019,1.104
9/9/2019,1.1033
9/6/2019,1.1027
9/5/2019,1.1058
9/4/2019,1.1018
9/3/2019,1.0937
9/2/2019,1.0968
8/30/2019,1.1036
8/29/2019,1.1072
8/28/2019,1.1083
8/27/2019,1.1104
8/26/2019,1.1116
8/23/2019,1.1065
8/22/2019,1.1083
8/21/2019,1.1104
8/20/2019,1.1076
8/19/2019,1.1103
8/16/2019,1.1076
8/15/2019,1.115
8/14/2019,1.1188
8/13/2019,1.1222
8/12/2019,1.1194
8/9/2019,1.1198
8/8/2019,1.1193
8/7/2019,1.1202
8/6/2019,1.1187
8/5/2019,1.1182
8/2/2019,1.1106
8/1/2019,1.1037
7/31/2019,1.1151
7/30/2019,1.1154
7/29/2019,1.1119
7/26/2019,1.1138
7/25/2019,1.1115
7/24/2019,1.114
7/23/2019,1.1173
7/22/2019,1.1215
7/19/2019,1.1226
7/18/2019,1.1216
7/17/2019,1.1215
7/16/2019,1.1223
7/15/2019,1.1269
7/12/2019,1.1253
7/11/2019,1.1285
7/10/2019,1.122
7/9/2019,1.1205
7/8/2019,1.1215
7/5/2019,1.126
7/4/2019,1.1288
7/3/2019,1.1293
7/2/2019,1.1301
7/1/2019,1.1349
6/28/2019,1.138
6/27/2019,1.137
6/26/2019,1.1362
6/25/2019,1.1388
6/24/2019,1.1394
6/21/2019,1.1316
6/20/2019,1.1307
6/19/2019,1.1207
6/18/2019,1.1187
6/17/2019,1.1234
6/14/2019,1.1265
6/13/2019,1.1289
6/12/2019,1.1323
6/11/2019,1.132
6/10/2019,1.1301
6/7/2019,1.1273
6/6/2019,1.1266
6/5/2019,1.1257
6/4/2019,1.1244
6/3/2019,1.1185
5/31/2019,1.1151
5/30/2019,1.1134
5/29/2019,1.1156
5/28/2019,1.1192
5/27/2019,1.1198
5/24/2019,1.1187
5/23/2019,1.1139
5/22/2019,1.1171
5/21/2019,1.1161
5/20/2019,1.1167
5/17/2019,1.1172
5/16/2019,1.1203
5/15/2019,1.1183
5/14/2019,1.1226
5/13/2019,1.1245
5/10/2019,1.123
5/9/2019,1.1193
5/8/2019,1.1202
5/7/2019,1.1185
5/6/2019,1.1199
5/3/2019,1.1155
5/2/2019,1.1212
4/30/2019,1.1218
4/29/2019,1.115
4/26/2019,1.1133
4/25/2019,1.1123
4/24/2019,1.1209
4/23/2019,1.1245
4/18/2019,1.125
4/17/2019,1.1301
4/16/2019,1.1305
4/15/2019,1.1313
4/12/2019,1.1321
4/11/2019,1.1264
