iter	RMSE
0	2833.253327
1	2793.67036
2	2754.489461
3	2712.256688
4	2669.398797
5	2621.433465
6	2581.942949
7	2557.051741
8	2525.219404
9	2493.693651
10	2457.538339
11	2424.434172
12	2397.272621
13	2367.546705
14	2333.198573
15	2298.816956
16	2266.338613
17	2239.849705
18	2201.716127
19	2165.229498
20	2133.972237
21	2107.729074
22	2084.849899
23	2063.501412
24	2044.028911
25	2012.1171
26	1995.977569
27	1977.415254
28	1960.420716
29	1947.222406
30	1933.645039
31	1914.512054
32	1891.997768
33	1876.153423
34	1858.681695
35	1836.653233
36	1818.481213
37	1807.247778
38	1786.197625
39	1760.521835
40	1742.166628
41	1727.30142
42	1709.494941
43	1696.039698
44	1674.873845
45	1663.426341
46	1645.663065
47	1620.865504
48	1605.562652
49	1587.203896
50	1569.852115
51	1557.294344
52	1549.782063
53	1540.418318
54	1528.024599
55	1510.629336
56	1494.513757
57	1474.577283
58	1459.684016
59	1445.045978
60	1431.428598
61	1423.617396
62	1416.348356
63	1402.530071
64	1387.573469
65	1374.603458
66	1366.32698
67	1354.100614
68	1343.426868
69	1324.362578
70	1313.472878
71	1297.719584
72	1289.568588
73	1281.822153
74	1268.217397
75	1261.800757
76	1252.586868
77	1240.607413
78	1229.313985
79	1220.097187
80	1206.596321
81	1192.80823
82	1180.928788
83	1170.68537
84	1159.370678
85	1154.9877
86	1144.077548
87	1137.080034
88	1131.509412
89	1123.098981
90	1113.153948
91	1104.993996
92	1094.946828
93	1083.914087
94	1074.013869
95	1063.048706
96	1057.342795
97	1048.810503
98	1039.160327
99	1030.634432
100	1019.06114
101	1013.987622
102	1003.708022
103	992.5899696
104	985.3726548
105	977.3789787
106	969.3214486
107	961.3114278
108	955.5064047
109	946.996511
110	944.9153627
111	936.6088144
112	928.8620652
113	920.8988223
114	917.113414
115	914.2730511
116	910.1111259
117	903.3263488
118	893.6323514
119	889.4793426
120	880.3314716
121	874.3708928
122	867.9585728
123	861.0037749
124	856.1904231
125	848.5923043
126	842.7859398
127	838.253046
128	830.2383083
129	825.0325893
130	820.9601614
131	817.1162609
132	812.1502984
133	806.1654623
134	801.0762923
135	797.5255642
136	796.1416305
137	789.5732264
138	785.3469402
139	777.8800246
140	774.2757761
141	767.7606762
142	761.306963
143	757.1362591
144	755.2334387
145	749.181128
146	742.7032332
147	737.6224971
148	732.1520328
149	725.8724101
150	723.6450996
151	719.6877513
152	716.3394594
153	711.5660359
154	705.6383092
155	703.282146
156	698.2183492
157	692.6821802
158	690.6769199
159	688.7118857
160	682.9324365
161	678.2561412
162	673.2799584
163	669.0327781
164	664.7314094
165	661.7118553
166	656.9153899
167	651.4028575
168	646.3933823
169	642.2986826
170	640.4921401
171	636.5231574
172	631.21489
173	626.003339
174	622.5544796
175	617.9705409
176	615.912947
177	612.7647036
178	611.5888517
179	606.4954249
180	603.552374
181	598.5313234
182	595.4120775
183	590.7607602
184	587.1422691
185	583.6777971
186	582.1586723
187	577.4025885
188	572.5459879
189	568.5601345
190	565.2562157
191	562.4853946
192	558.4591232
193	554.8233172
194	551.5162565
195	549.3816767
196	545.5154121
197	541.6395138
198	539.7818956
199	536.4514325
200	533.6930283
201	530.4258381
202	526.8912529
203	524.122571
204	521.7046075
205	518.2067668
206	514.5144397
207	511.1041478
208	509.3263422
209	506.2729908
210	503.4342678
211	500.2627417
212	498.8628702
213	496.2665598
214	494.7260235
215	491.9067291
216	490.6124997
217	488.0478726
218	486.2175669
219	482.8689716
220	479.3232302
221	478.2018789
222	475.8212277
223	473.8400654
224	470.9801511
225	467.9947361
226	465.236294
227	463.9041795
228	461.4069353
229	458.5571304
230	456.6651496
231	455.4266575
232	452.5681739
233	451.6008033
234	450.063388
235	448.6542393
236	447.4406123
237	446.4505835
238	444.4696844
239	442.2127734
240	441.3481237
241	438.756709
242	436.2900798
243	434.5572016
244	433.6365202
245	431.8143454
246	430.9094863
247	428.1974381
248	426.1398513
249	423.851639
250	422.1751114
251	420.6913302
252	419.1997789
253	418.206138
254	417.2359435
255	416.7237711
256	416.0180166
257	413.7588946
258	412.5696945
259	410.1589543
260	408.8750339
261	408.1906433
262	405.9574829
263	404.0705778
264	403.5691879
265	401.349546
266	400.6866885
267	400.0655653
268	397.8644764
269	396.2078757
270	393.8500612
271	392.2234766
272	390.2840462
273	388.7312849
274	388.2126534
275	386.4036556
276	385.288278
277	384.0501835
278	382.896137
279	380.5391127
280	379.044675
281	378.5886331
282	377.8444682
283	376.1144655
284	375.3800265
285	373.1467371
286	371.5761479
287	371.1467435
288	369.286292
289	368.4031629
290	367.9869614
291	367.2953204
292	366.0063812
293	364.4868003
294	363.176042
295	362.7883269
296	360.994963
297	359.7032158
298	357.5515551
299	356.1257495
300	355.4314099
301	354.5401821
302	352.6291953
303	351.0556023
304	350.1480188
305	349.0554665
306	347.7892171
307	347.4484867
308	345.8559012
309	344.9050948
310	343.7580125
311	342.3867726
312	341.1947315
313	339.8153377
314	338.1653668
315	337.712236
316	335.9814189
317	335.6467133
318	333.811839
319	332.108641
320	331.1044415
321	329.7532059
322	329.4299125
323	328.5871109
324	327.2833207
325	326.5358352
326	325.3455719
327	323.620135
328	322.3968064
329	321.9944535
330	320.8133511
331	319.4627732
332	318.7139216
333	318.2371464
334	317.0085084
